Name,Description,Price,Image URL
Ashwagandha Capsules - Stress & Heart Health,"Ashwagandha helps reduce stress, regulate heart rate, and improve sleep quality.",459,https://m.media-amazon.com/images/I/71GcBHK3utL.jpg
Brahmi Tablets - Mental Wellness & Stress Relief,"Brahmi enhances mental clarity, reduces anxiety, and stabilizes stress hormones.",489,https://m.media-amazon.com/images/I/51C0+wVHRFL.jpg
Arjuna Powder - Heart Health & Blood Circulation,Arjuna is a natural heart tonic that supports cardiovascular health and normalizes BPM.,429,https://m.media-amazon.com/images/I/71vYfp2dKQL.jpg
Giloy Juice - Immunity & Temperature Regulation,Giloy strengthens immunity and helps regulate body temperature during fevers.,479,https://m.media-amazon.com/images/I/71mqXwX6yUL.jpg
Shankhpushpi Syrup - Anxiety & Stress Relief,Shankhpushpi calms the nervous system and helps relieve anxiety and stress.,449,https://m.media-amazon.com/images/I/81jqfa8oxLL.jpg
Mulethi Churna - Respiratory & Fever Relief,Mulethi aids in respiratory health and helps in fever management.,439,https://www.patanjaliayurved.net/assets/product_images/400x500/1721990104mulethichuran1.png
Yashtimadhu Capsules,Soothes the nervous system and reduces stress,469,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6uds7WMah0lTK_6b0yCzvWNrWNEj3D2n8tw&s
Punarnava Powder,Supports healthy circulation and body temperature,419,https://m.media-amazon.com/images/I/61V2xf8ofFL._AC_UF1000,1000_QL80_.jpg
Amalaki Powder,helps reduce stress and balance BPM,499,https://m.media-amazon.com/images/I/81lsvLqDhbL.jpg
Sarpagandha Tablets,Helps regulate high blood pressure and BPM,489,https://rukminim2.flixcart.com/image/850/1000/xif0q/shopsy-ayurvedic/9/a/d/sarpagandha-tablet-50-tablets-pack-of-2-1-baidyanath-original-imah5y3hrswevkau.jpeg?q=20&crop=false
Vacha Powder,Improves mental clarity and reduces stress,479,https://m.media-amazon.com/images/I/71atWOzL4FL._AC_UF1000,1000_QL80_.jpg
Haritaki Powder,Detoxifies the body and balances body temperature,469,https://m.media-amazon.com/images/I/71MGExHk+xL.jpg
Manjistha Powder,Supports healthy circulation and reduces stress,459,https://rukminim2.flixcart.com/image/850/1000/l37mtu80/face-pack/8/b/b/150-manjistha-powder-rubia-cordifolia-for-face-skin-hair-care-original-imagedsqfuasewzf.jpeg?q=90&crop=false
Guduchi Powder,Boosts immunity and regulates body temperature,449,https://m.media-amazon.com/images/I/71lmNL-YGJL.jpg
Licorice Root Powder,Soothes the nervous system and reduces stress,439,https://m.media-amazon.com/images/I/61-t1g9tNRL._AC_UF1000,1000_QL80_.jpg
Shatavari Powder,Helps balance hormones and reduce stress,429,https://m.media-amazon.com/images/I/711qGODnWxL.jpg
Moringa Powder,supports heart health and reduces stress,419,https://m.media-amazon.com/images/I/71kaWiBZkNL.jpg
Triphala Powder,Detoxifies the body and supports overall health,499,https://m.media-amazon.com/images/I/81qDvBBnDXL.jpg
Dashmool Powder,Reduces stress and supports joint health,489,https://m.media-amazon.com/images/I/81Q9XJmvgDL.jpg
Chyawanprash,Boosts immunity and regulates body temperature,479,https://m.media-amazon.com/images/I/71tH6y4K-SL._AC_UF1000,1000_QL80_.jpg
Bala Oil,Promotes relaxation and supports heart health,469,https://m.media-amazon.com/images/I/51+-z4cm3DL.jpg
Bhringraj Oil,Reduces stress and supports hair health,459,https://www.greenlifeherbals.co/cdn/shop/products/004.jpg?v=1681288264
Neem Capsules,Detoxifies the body and regulates body temperature,449,https://m.media-amazon.com/images/I/71frSTC2ybL.jpg
Turmeric Powder,Reduces inflammation and supports heart health,439,https://www.tatanutrikorner.com/cdn/shop/files/turmeric_200g.webp?v=1731900341&width=1445
Ginger Powder,Regulates body temperature and supports digestion,429,https://m.media-amazon.com/images/I/81nKpe0VBPL.jpg
Cinnamon Powder,Supports healthy circulation and reduces stress,419,https://rukminim2.flixcart.com/image/850/1000/kz1lle80/spice-masala/h/0/r/200-cinnamon-powder-dalchini-powder-1-pouch-nutri-guide-powder-original-imagb548guqjz7h4.jpeg?q=20&crop=false
Cardamom Powder,Calms the mind and supports heart health,499,https://keyafoods.com/cdn/shop/files/CardemonSeedPowder.jpg?v=1719815049&width=1445
Fennel Powder,Supports digestion and reduces stress,489,https://aachifoods.com/cdn/shop/files/Fennel-Powder.webp?v=1726910940
Cumin Powder,Regulates body temperature and supports digestion,479,https://m.media-amazon.com/images/I/81Y4dOt-V1L.jpg
Ajwain Powder,Supports digestion and reduces stress,469,https://vedcare.in/wp-content/uploads/2023/12/Vedcare-Natural-Ajwain-Carom-Seed-Powder-200-gm.jpg
Peppermint Oil,Calms the mind and regulates body temperature,459,https://m.media-amazon.com/images/I/61AS9xbq0HL._AC_UF1000,1000_QL80_.jpg
Eucalyptus Oil,Supports respiratory health and reduces stress,449,https://m.media-amazon.com/images/I/51eEhuIEJ7L.jpg
Lavender Oil,Promotes relaxation and reduces stress,439,https://m.media-amazon.com/images/I/81dWT3VBxYL._AC_UF1000,1000_QL80_.jpg
Sandalwood Oil,Calms the mind and supports heart health,429,https://m.media-amazon.com/images/I/71yvVbJpAkL.jpg
Rose Water,Soothes the skin and reduces stress,419,https://m.media-amazon.com/images/I/81qtIkTFGzL._AC_UF1000,1000_QL80_.jpg
Aloe Vera Gel,Regulates body temperature and soothes the skin,499,https://m.media-amazon.com/images/I/61A58BcmbmL.jpg
Honey,Boosts immunity and supports heart health,489,https://www.bigbasket.com/media/uploads/p/xxl/239524-2_6-dabur-100-pure-honey-worlds-no1-honey-brand-with-no-sugar-adulteration.jpg
Ghee,Supports digestion and reduces stress,479,https://www.shuddhamorganics.com/cdn/shop/files/SmartSelect-20231001_000630_Gallery.jpg?v=1696099042
Sesame Oil,Promotes relaxation and supports heart health,469,https://organicmandya.com/cdn/shop/files/200ml_Sesame_Oil.jpg?v=1724933834&width=1500
Coconut Oil,Regulates body temperature and supports skin health,459,https://m.media-amazon.com/images/I/71+I2IPZOqL.jpg
Mustard Oil,Supports heart health and reduces stress,449,https://m.media-amazon.com/images/I/71uXfQr+SjL._AC_UF350,350_QL80_.jpg
Castor Oil,Detoxifies the body and supports digestion,439,https://m.media-amazon.com/images/I/71Pem0dt08L.jpg
Amla Juice,supports heart health and reduces stress,429,https://m.media-amazon.com/images/I/71cqC6167lL.jpg
Pomegranate Juice,Supports heart health and reduces stress,419,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKbo0mq3PS1WLybkIeMPm0gIbVUrr8xvm1vg&s
Tamarind Powder,Supports digestion and reduces stress,489,https://m.media-amazon.com/images/I/71ZNbfUQxjL.jpg
Basil Oil,Calms the mind and supports heart health,479,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lat/lat00561/y/34.jpg
Clove Oil,Supports respiratory health and reduces stress,469,https://m.media-amazon.com/images/I/81l+C7zTvwL.jpg
